iter	RMSE
0	173.0180079
1	166.8671222
2	160.9224807
3	155.0702478
4	149.4744837
5	144.4332368
6	139.3418318
7	134.4161224
8	129.7339983
9	125.3821403
10	121.0304069
11	116.8439227
12	112.7503545
13	108.7610775
14	105.3569538
15	101.8418773
16	98.32865635
17	94.86832551
18	91.79539913
19	88.61746258
20	85.50699791
21	82.49095013
22	79.71060708
23	77.07899639
24	74.58434909
25	72.29115028
26	69.99048988
27	67.77220543
28	65.58165627
29	63.43743158
30	61.45368928
31	59.46234663
32	57.53950109
33	55.66304695
34	53.87712461
35	52.220921
36	50.58821284
37	48.96109794
38	47.48386254
39	45.95232955
40	44.498642
41	43.10391231
42	41.82444068
43	40.5290698
44	39.43985758
45	38.22922081
46	37.09729369
47	35.9442159
48	34.91764333
49	33.94963874
50	32.9931178
51	32.09085183
52	31.23277107
53	30.37593667
54	29.57670343
55	28.80258487
56	28.07462517
57	27.33268299
58	26.65291363
59	25.96832355
60	25.32259597
61	24.72470256
62	24.17898177
63	23.63998751
64	23.11955253
65	22.64074306
66	22.18870056
67	21.6680271
68	21.17654985
69	20.71611106
70	20.32041027
71	19.92110085
72	19.51553149
73	19.12060685
74	18.75962962
75	18.39449018
76	18.06030809
77	17.73376516
78	17.41724882
79	17.11903686
80	16.82086793
81	16.55485351
82	16.2755803
83	16.0212249
84	15.76515283
85	15.51765239
86	15.26683453
87	15.07477048
88	14.872285
89	14.65590352
90	14.4606543
91	14.2909756
92	14.10327816
93	13.91752602
94	13.73987364
95	13.56217695
96	13.41369444
97	13.27064755
98	13.13297245
99	12.97999996
100	12.84089567
101	12.71518582
102	12.60424247
103	12.49755682
104	12.36912062
105	12.27165304
106	12.1593685
107	12.04698211
108	11.9418339
109	11.85348975
110	11.74112137
111	11.63951502
112	11.53994189
113	11.45049802
114	11.35842376
115	11.26541657
116	11.18428828
117	11.11540868
118	11.02476308
119	10.96559213
120	10.89223477
121	10.82079619
122	10.76334077
123	10.7014918
124	10.64769192
125	10.59032365
126	10.51705392
127	10.46405308
128	10.40718733
129	10.34588844
130	10.26429004
131	10.21826189
132	10.16524805
133	10.11009508
134	10.06052399
135	10.01407006
136	9.962016656
137	9.91185772
138	9.868628737
139	9.827242558
140	9.786051987
141	9.737590687
142	9.690820485
143	9.637860804
144	9.594032839
145	9.54882334
146	9.504131569
147	9.461816701
148	9.424015553
149	9.384614149
150	9.341284787
151	9.304403106
152	9.27619452
153	9.243420494
154	9.191450166
155	9.161809216
156	9.127220355
157	9.092999932
158	9.05167129
159	9.021672442
160	8.97652477
161	8.942038704
162	8.905773644
163	8.872470567
164	8.839601247
165	8.813018591
166	8.781211874
167	8.752627455
168	8.726536284
169	8.693704581
170	8.665700865
171	8.635515579
172	8.608071495
173	8.586769457
174	8.565725705
175	8.533953125
176	8.49366217
177	8.475131888
178	8.430304041
179	8.404532158
180	8.374037306
181	8.348940763
182	8.321865407
183	8.287362211
184	8.26152615
185	8.229170472
186	8.191042862
187	8.164446165
188	8.136155226
189	8.105154169
190	8.081137187
191	8.043550802
192	8.017240031
193	7.986235261
194	7.961318367
195	7.931940631
196	7.909564177
197	7.875573681
198	7.84643828
199	7.823068196
200	7.790040531
201	7.774287139
202	7.751920613
203	7.723474266
204	7.705612215
205	7.689282384
206	7.662881186
207	7.624360209
208	7.61092302
209	7.581396322
210	7.543787149
211	7.526491065
212	7.504316934
213	7.48924912
214	7.476976749
215	7.463020117
216	7.44370899
217	7.432070059
218	7.419695717
219	7.381548397
220	7.350246059
221	7.320246698
222	7.300867437
223	7.283136691
224	7.259185084
225	7.233697119
226	7.218318578
227	7.190778627
228	7.173277959
229	7.15047108
230	7.127558029
231	7.098613473
232	7.06398307
233	7.035117304
234	7.018327515
235	6.987910451
236	6.956003547
237	6.941484148
238	6.916983013
239	6.890094235
240	6.873656446
241	6.853060018
242	6.825052321
243	6.798187719
244	6.76876238
245	6.748290236
246	6.734952192
247	6.717889786
248	6.704958684
249	6.681969791
250	6.6645983
251	6.656655612
252	6.636947176
253	6.623376089
254	6.598668235
255	6.574015377
256	6.553519937
257	6.526963047
258	6.509043555
259	6.485168101
260	6.466004078
261	6.455579484
262	6.446067783
263	6.423694984
264	6.408183622
265	6.400803819
266	6.389834586
267	6.372235851
268	6.354812154
269	6.331629445
270	6.313160015
271	6.303753382
272	6.298987178
273	6.28262928
274	6.262210546
275	6.240953526
276	6.220603075
277	6.200007512
278	6.178665955
279	6.161101612
280	6.145370856
281	6.135522843
282	6.10396131
283	6.077192159
284	6.065757017
285	6.05239024
286	6.04565141
287	6.017265888
288	6.004611058
289	5.977432491
290	5.970010599
291	5.954294771
292	5.937976642
293	5.920328136
294	5.905459758
295	5.898204365
296	5.884192849
297	5.876369634
298	5.858369074
299	5.843133804
300	5.824892319
301	5.807840113
302	5.78962645
303	5.772085585
304	5.763214652
305	5.752283983
306	5.735782095
307	5.72125559
308	5.704881572
309	5.689935781
310	5.674444456
311	5.659534614
312	5.644181076
313	5.628365839
314	5.607974034
315	5.595535223
316	5.5851946
317	5.567020299
318	5.554835808
319	5.538541653
320	5.525576331
321	5.514824578
322	5.504420198
323	5.492759055
324	5.479443192
325	5.461884134
326	5.449243371
327	5.434559882
328	5.423264526
329	5.405383442
330	5.392059214
331	5.38713232
332	5.375683685
333	5.361023825
334	5.345989148
335	5.333344099
336	5.328843669
337	5.310652165
338	5.304177975
339	5.289909308
340	5.278068809
341	5.261421952
342	5.246545555
343	5.235106285
344	5.224712311
345	5.212884386
346	5.208831021
347	5.200534072
348	5.187744561
349	5.177556769
350	5.169869914
351	5.156991189
352	5.144759811
353	5.1308106
354	5.115626208
355	5.103351194
356	5.093499912
357	5.090855411
358	5.079359858
359	5.065718693
360	5.054477832
361	5.037809444
362	5.027253971
363	5.012999815
364	5.009978335
365	5.001626653
366	4.991571753
367	4.982965042
368	4.966714618
369	4.953173443
370	4.950895372
371	4.937699221
372	4.925507063
373	4.911191264
374	4.897414332
375	4.8834535
376	4.869563068
377	4.854252002
378	4.841248305
379	4.824709435
380	4.814759591
381	4.803718861
382	4.793143507
383	4.7781682
384	4.769541387
385	4.762570678
386	4.752964334
387	4.742935703
388	4.728795259
389	4.719434065
390	4.707086582
391	4.702758019
392	4.689928127
393	4.680583247
394	4.671288979
395	4.662035653
396	4.647388229
397	4.63771888
398	4.626453802
399	4.618997022
400	4.608844536
401	4.593203951
402	4.583111139
403	4.57154366
404	4.564500184
405	4.550746486
406	4.54681352
407	4.544134056
408	4.534699604
409	4.523754097
410	4.511149696
411	4.503423002
412	4.496124235
413	4.488776342
