iter	Passed	Remaining
0	20	20563
1	27	13680
2	34	11425
3	41	10248
4	48	9576
5	55	9137
6	62	8822
7	68	8553
8	76	8368
9	83	8219
10	90	8100
11	97	7993
12	103	7891
13	111	7874
14	119	7820
15	126	7754
16	133	7693
17	139	7635
18	146	7587
19	153	7541
20	160	7490
21	167	7446
22	174	7404
23	181	7373
24	188	7342
25	195	7308
26	202	7281
27	209	7259
28	216	7238
29	222	7208
30	231	7223
31	238	7199
32	245	7191
33	252	7168
34	259	7150
35	266	7133
36	273	7117
37	281	7115
38	287	7096
39	295	7084
40	302	7068
41	309	7054
42	316	7040
43	323	7027
44	330	7008
45	337	6991
46	343	6974
47	350	6959
48	358	6950
49	365	6938
50	372	6927
51	379	6911
52	386	6898
53	393	6885
54	399	6870
55	406	6858
56	413	6847
57	420	6833
58	427	6822
59	434	6814
60	441	6800
61	448	6789
62	455	6777
63	462	6766
64	469	6756
65	476	6745
66	483	6732
67	490	6722
68	497	6711
69	504	6700
70	511	6696
71	518	6686
72	526	6680
73	532	6669
74	540	6660
75	546	6648
76	553	6640
77	560	6629
78	567	6618
79	574	6609
80	581	6597
81	588	6588
82	595	6578
83	602	6567
84	609	6557
85	616	6547
86	622	6537
87	630	6529
88	636	6519
89	643	6510
90	650	6500
91	657	6492
92	664	6483
93	671	6473
94	678	6463
95	685	6452
96	692	6443
97	699	6435
98	706	6425
99	712	6414
100	719	6405
101	726	6396
102	733	6386
103	741	6385
104	747	6375
105	756	6376
106	762	6365
107	770	6360
108	776	6350
109	784	6344
110	790	6334
111	797	6325
112	804	6314
113	811	6304
114	817	6294
115	824	6284
116	831	6275
117	838	6266
118	845	6260
119	852	6251
120	859	6243
121	866	6233
122	872	6224
123	879	6214
124	886	6206
125	893	6200
126	900	6191
127	907	6182
128	914	6173
129	921	6165
130	927	6155
131	934	6146
132	941	6138
133	948	6129
134	955	6120
135	961	6111
136	968	6103
137	975	6095
138	982	6086
139	989	6079
140	996	6072
141	1003	6065
142	1010	6056
143	1017	6047
144	1024	6039
145	1031	6031
146	1038	6024
147	1044	6015
148	1051	6007
149	1058	5999
150	1065	5991
151	1072	5983
152	1079	5974
153	1086	5966
154	1092	5958
155	1099	5950
156	1106	5943
157	1113	5934
158	1120	5926
159	1127	5917
160	1133	5908
161	1140	5900
162	1147	5891
163	1154	5883
164	1161	5875
165	1167	5866
166	1174	5858
167	1181	5850
168	1187	5841
169	1194	5832
170	1201	5825
171	1208	5817
172	1215	5809
173	1221	5800
174	1228	5792
175	1235	5784
176	1242	5776
177	1249	5768
178	1255	5759
179	1262	5751
180	1269	5744
181	1277	5740
182	1284	5732
183	1291	5726
184	1298	5718
185	1305	5712
186	1312	5704
187	1318	5696
188	1325	5688
189	1332	5680
190	1339	5672
191	1346	5665
192	1353	5658
193	1360	5650
194	1366	5643
195	1373	5635
196	1380	5627
197	1387	5619
198	1394	5612
199	1401	5604
200	1407	5596
201	1414	5588
202	1421	5581
203	1428	5573
204	1435	5565
205	1441	5556
206	1448	5548
207	1455	5541
208	1461	5533
209	1468	5525
210	1475	5518
211	1482	5510
212	1489	5503
213	1496	5496
214	1503	5487
215	1510	5481
216	1516	5473
217	1523	5466
218	1530	5458
219	1537	5451
220	1544	5443
221	1550	5435
222	1557	5427
223	1564	5419
224	1571	5412
225	1578	5404
226	1585	5397
227	1592	5390
228	1598	5383
229	1605	5375
230	1612	5368
231	1619	5361
232	1626	5353
233	1633	5347
234	1640	5339
235	1646	5331
236	1653	5324
237	1660	5316
238	1667	5309
239	1674	5302
240	1681	5294
241	1687	5286
242	1694	5280
243	1701	5272
244	1708	5266
245	1716	5259
246	1722	5252
247	1729	5244
248	1736	5236
249	1743	5229
250	1750	5222
251	1756	5214
252	1763	5207
253	1770	5199
254	1777	5192
255	1783	5184
256	1790	5176
257	1798	5171
258	1805	5164
259	1812	5158
260	1819	5151
261	1826	5144
262	1833	5136
263	1840	5129
264	1846	5122
265	1853	5115
266	1860	5108
267	1867	5101
268	1874	5093
269	1881	5086
270	1888	5079
271	1895	5072
272	1902	5065
273	1909	5058
274	1915	5051
275	1922	5043
276	1929	5036
277	1936	5028
278	1943	5021
279	1949	5014
280	1956	5006
281	1963	4999
282	1970	4992
283	1977	4986
284	1984	4978
285	1991	4971
286	1998	4964
287	2004	4956
288	2011	4949
289	2019	4943
290	2025	4935
291	2032	4928
292	2039	4921
293	2046	4914
294	2053	4906
295	2060	4899
296	2066	4892
297	2073	4885
298	2081	4880
299	2088	4873
300	2095	4866
301	2102	4859
302	2109	4852
303	2116	4845
304	2123	4837
305	2129	4830
306	2136	4822
307	2143	4816
308	2150	4808
309	2157	4801
310	2163	4794
311	2170	4787
312	2177	4779
313	2184	4772
314	2191	4765
315	2198	4757
316	2205	4750
317	2212	4744
